,Nation,Coverage,Metric,Value,Year
8239,Maryland,Total,Percent,N,2020
8240,Maryland,Any coverage,Percent,N,2020
8241,Maryland,Uninsured,Percent,N,2020
8242,Maryland,Private,Percent,N,2020
8243,Maryland,Employer-based,Percent,N,2020
8244,Maryland,Direct-purchase,Percent,N,2020
8245,Maryland,TRICARE,Percent,N,2020
8246,Maryland,Public,Percent,N,2020
8247,Maryland,Medicaid,Percent,N,2020
8248,Maryland,Medicare,Percent,N,2020
8249,Maryland,VA Care,Percent,N,2020
8250,Massachusetts,Total,Percent,N,2020
8251,Massachusetts,Any coverage,Percent,N,2020
8252,Massachusetts,Uninsured,Percent,N,2020
8253,Massachusetts,Private,Percent,N,2020
8254,Massachusetts,Employer-based,Percent,N,2020
8255,Massachusetts,Direct-purchase,Percent,N,2020
8256,Massachusetts,TRICARE,Percent,N,2020
8257,Massachusetts,Public,Percent,N,2020
8258,Massachusetts,Medicaid,Percent,N,2020
8259,Massachusetts,Medicare,Percent,N,2020
8260,Massachusetts,VA Care,Percent,N,2020
8261,Michigan,Total,Percent,N,2020
8262,Michigan,Any coverage,Percent,N,2020
8263,Michigan,Uninsured,Percent,N,2020
8264,Michigan,Private,Percent,N,2020
8265,Michigan,Employer-based,Percent,N,2020
8266,Michigan,Direct-purchase,Percent,N,2020
8267,Michigan,TRICARE,Percent,N,2020
8268,Michigan,Public,Percent,N,2020
8269,Michigan,Medicaid,Percent,N,2020
8270,Michigan,Medicare,Percent,N,2020
8271,Michigan,VA Care,Percent,N,2020
8272,Minnesota,Total,Percent,N,2020
8273,Minnesota,Any coverage,Percent,N,2020
8274,Minnesota,Uninsured,Percent,N,2020
8275,Minnesota,Private,Percent,N,2020
8276,Minnesota,Employer-based,Percent,N,2020
8277,Minnesota,Direct-purchase,Percent,N,2020
8278,Minnesota,TRICARE,Percent,N,2020
8279,Minnesota,Public,Percent,N,2020
8280,Minnesota,Medicaid,Percent,N,2020
8281,Minnesota,Medicare,Percent,N,2020
8282,Minnesota,VA Care,Percent,N,2020
8283,Mississippi,Total,Percent,N,2020
8284,Mississippi,Any coverage,Percent,N,2020
8285,Mississippi,Uninsured,Percent,N,2020
8286,Mississippi,Private,Percent,N,2020
8287,Mississippi,Employer-based,Percent,N,2020
8288,Mississippi,Direct-purchase,Percent,N,2020
8289,Mississippi,TRICARE,Percent,N,2020
8290,Mississippi,Public,Percent,N,2020
8291,Mississippi,Medicaid,Percent,N,2020
8292,Mississippi,Medicare,Percent,N,2020
8293,Mississippi,VA Care,Percent,N,2020
8294,Missouri,Total,Percent,N,2020
8295,Missouri,Any coverage,Percent,N,2020
8296,Missouri,Uninsured,Percent,N,2020
8297,Missouri,Private,Percent,N,2020
8298,Missouri,Employer-based,Percent,N,2020
8299,Missouri,Direct-purchase,Percent,N,2020
8300,Missouri,TRICARE,Percent,N,2020
8301,Missouri,Public,Percent,N,2020
8302,Missouri,Medicaid,Percent,N,2020
8303,Missouri,Medicare,Percent,N,2020
8304,Missouri,VA Care,Percent,N,2020
8305,Montana,Total,Percent,N,2020
8306,Montana,Any coverage,Percent,N,2020
8307,Montana,Uninsured,Percent,N,2020
8308,Montana,Private,Percent,N,2020
8309,Montana,Employer-based,Percent,N,2020
8310,Montana,Direct-purchase,Percent,N,2020
8311,Montana,TRICARE,Percent,N,2020
8312,Montana,Public,Percent,N,2020
8313,Montana,Medicaid,Percent,N,2020
8314,Montana,Medicare,Percent,N,2020
8315,Montana,VA Care,Percent,N,2020
8316,Nebraska,Total,Percent,N,2020
8317,Nebraska,Any coverage,Percent,N,2020
8318,Nebraska,Uninsured,Percent,N,2020
8319,Nebraska,Private,Percent,N,2020
8320,Nebraska,Employer-based,Percent,N,2020
8321,Nebraska,Direct-purchase,Percent,N,2020
8322,Nebraska,TRICARE,Percent,N,2020
8323,Nebraska,Public,Percent,N,2020
8324,Nebraska,Medicaid,Percent,N,2020
8325,Nebraska,Medicare,Percent,N,2020
8326,Nebraska,VA Care,Percent,N,2020
8327,Nevada,Total,Percent,N,2020
8328,Nevada,Any coverage,Percent,N,2020
8329,Nevada,Uninsured,Percent,N,2020
8330,Nevada,Private,Percent,N,2020
8331,Nevada,Employer-based,Percent,N,2020
8332,Nevada,Direct-purchase,Percent,N,2020
8333,Nevada,TRICARE,Percent,N,2020
8334,Nevada,Public,Percent,N,2020
8335,Nevada,Medicaid,Percent,N,2020
8336,Nevada,Medicare,Percent,N,2020
8337,Nevada,VA Care,Percent,N,2020
8338,New Hampshire,Total,Percent,N,2020
8339,New Hampshire,Any coverage,Percent,N,2020
8340,New Hampshire,Uninsured,Percent,N,2020
8341,New Hampshire,Private,Percent,N,2020
8342,New Hampshire,Employer-based,Percent,N,2020
8343,New Hampshire,Direct-purchase,Percent,N,2020
8344,New Hampshire,TRICARE,Percent,N,2020
8345,New Hampshire,Public,Percent,N,2020
8346,New Hampshire,Medicaid,Percent,N,2020
8347,New Hampshire,Medicare,Percent,N,2020
8348,New Hampshire,VA Care,Percent,N,2020
8349,New Jersey,Total,Percent,N,2020
8350,New Jersey,Any coverage,Percent,N,2020
8351,New Jersey,Uninsured,Percent,N,2020
8352,New Jersey,Private,Percent,N,2020
8353,New Jersey,Employer-based,Percent,N,2020
8354,New Jersey,Direct-purchase,Percent,N,2020
8355,New Jersey,TRICARE,Percent,N,2020
8356,New Jersey,Public,Percent,N,2020
8357,New Jersey,Medicaid,Percent,N,2020
8358,New Jersey,Medicare,Percent,N,2020
8359,New Jersey,VA Care,Percent,N,2020
8360,New Mexico,Total,Percent,N,2020
8361,New Mexico,Any coverage,Percent,N,2020
8362,New Mexico,Uninsured,Percent,N,2020
8363,New Mexico,Private,Percent,N,2020
8364,New Mexico,Employer-based,Percent,N,2020
8365,New Mexico,Direct-purchase,Percent,N,2020
8366,New Mexico,TRICARE,Percent,N,2020
8367,New Mexico,Public,Percent,N,2020
8368,New Mexico,Medicaid,Percent,N,2020
8369,New Mexico,Medicare,Percent,N,2020
8370,New Mexico,VA Care,Percent,N,2020
8371,New York,Total,Percent,N,2020
8372,New York,Any coverage,Percent,N,2020
8373,New York,Uninsured,Percent,N,2020
8374,New York,Private,Percent,N,2020
8375,New York,Employer-based,Percent,N,2020
8376,New York,Direct-purchase,Percent,N,2020
8377,New York,TRICARE,Percent,N,2020
8378,New York,Public,Percent,N,2020
8379,New York,Medicaid,Percent,N,2020
8380,New York,Medicare,Percent,N,2020
8381,New York,VA Care,Percent,N,2020
8382,North Carolina,Total,Percent,N,2020
8383,North Carolina,Any coverage,Percent,N,2020
8384,North Carolina,Uninsured,Percent,N,2020
8385,North Carolina,Private,Percent,N,2020
8386,North Carolina,Employer-based,Percent,N,2020
8387,North Carolina,Direct-purchase,Percent,N,2020
8388,North Carolina,TRICARE,Percent,N,2020
8389,North Carolina,Public,Percent,N,2020
8390,North Carolina,Medicaid,Percent,N,2020
8391,North Carolina,Medicare,Percent,N,2020
8392,North Carolina,VA Care,Percent,N,2020
8393,North Dakota,Total,Percent,N,2020
8394,North Dakota,Any coverage,Percent,N,2020
8395,North Dakota,Uninsured,Percent,N,2020
8396,North Dakota,Private,Percent,N,2020
8397,North Dakota,Employer-based,Percent,N,2020
8398,North Dakota,Direct-purchase,Percent,N,2020
8399,North Dakota,TRICARE,Percent,N,2020
8400,North Dakota,Public,Percent,N,2020
8401,North Dakota,Medicaid,Percent,N,2020
8402,North Dakota,Medicare,Percent,N,2020
8403,North Dakota,VA Care,Percent,N,2020
8404,Ohio,Total,Percent,N,2020
8405,Ohio,Any coverage,Percent,N,2020
8406,Ohio,Uninsured,Percent,N,2020
8407,Ohio,Private,Percent,N,2020
8408,Ohio,Employer-based,Percent,N,2020
8409,Ohio,Direct-purchase,Percent,N,2020
8410,Ohio,TRICARE,Percent,N,2020
8411,Ohio,Public,Percent,N,2020
8412,Ohio,Medicaid,Percent,N,2020
8413,Ohio,Medicare,Percent,N,2020
8414,Ohio,VA Care,Percent,N,2020
8415,Oklahoma,Total,Percent,N,2020
8416,Oklahoma,Any coverage,Percent,N,2020
8417,Oklahoma,Uninsured,Percent,N,2020
8418,Oklahoma,Private,Percent,N,2020
8419,Oklahoma,Employer-based,Percent,N,2020
8420,Oklahoma,Direct-purchase,Percent,N,2020
8421,Oklahoma,TRICARE,Percent,N,2020
8422,Oklahoma,Public,Percent,N,2020
8423,Oklahoma,Medicaid,Percent,N,2020
8424,Oklahoma,Medicare,Percent,N,2020
8425,Oklahoma,VA Care,Percent,N,2020
8426,Oregon,Total,Percent,N,2020
8427,Oregon,Any coverage,Percent,N,2020
8428,Oregon,Uninsured,Percent,N,2020
8429,Oregon,Private,Percent,N,2020
8430,Oregon,Employer-based,Percent,N,2020
8431,Oregon,Direct-purchase,Percent,N,2020
8432,Oregon,TRICARE,Percent,N,2020
8433,Oregon,Public,Percent,N,2020
8434,Oregon,Medicaid,Percent,N,2020
8435,Oregon,Medicare,Percent,N,2020
8436,Oregon,VA Care,Percent,N,2020
8437,Pennsylvania,Total,Percent,N,2020
8438,Pennsylvania,Any coverage,Percent,N,2020
8439,Pennsylvania,Uninsured,Percent,N,2020
8440,Pennsylvania,Private,Percent,N,2020
8441,Pennsylvania,Employer-based,Percent,N,2020
8442,Pennsylvania,Direct-purchase,Percent,N,2020
8443,Pennsylvania,TRICARE,Percent,N,2020
8444,Pennsylvania,Public,Percent,N,2020
8445,Pennsylvania,Medicaid,Percent,N,2020
8446,Pennsylvania,Medicare,Percent,N,2020
8447,Pennsylvania,VA Care,Percent,N,2020
8448,Rhode Island,Total,Percent,N,2020
8449,Rhode Island,Any coverage,Percent,N,2020
8450,Rhode Island,Uninsured,Percent,N,2020
8451,Rhode Island,Private,Percent,N,2020
8452,Rhode Island,Employer-based,Percent,N,2020
8453,Rhode Island,Direct-purchase,Percent,N,2020
8454,Rhode Island,TRICARE,Percent,N,2020
8455,Rhode Island,Public,Percent,N,2020
8456,Rhode Island,Medicaid,Percent,N,2020
8457,Rhode Island,Medicare,Percent,N,2020
8458,Rhode Island,VA Care,Percent,N,2020
8459,South Carolina,Total,Percent,N,2020
8460,South Carolina,Any coverage,Percent,N,2020
8461,South Carolina,Uninsured,Percent,N,2020
8462,South Carolina,Private,Percent,N,2020
8463,South Carolina,Employer-based,Percent,N,2020
8464,South Carolina,Direct-purchase,Percent,N,2020
8465,South Carolina,TRICARE,Percent,N,2020
8466,South Carolina,Public,Percent,N,2020
8467,South Carolina,Medicaid,Percent,N,2020
8468,South Carolina,Medicare,Percent,N,2020
8469,South Carolina,VA Care,Percent,N,2020
8470,South Dakota,Total,Percent,N,2020
8471,South Dakota,Any coverage,Percent,N,2020
8472,South Dakota,Uninsured,Percent,N,2020
8473,South Dakota,Private,Percent,N,2020
8474,South Dakota,Employer-based,Percent,N,2020
8475,South Dakota,Direct-purchase,Percent,N,2020
8476,South Dakota,TRICARE,Percent,N,2020
8477,South Dakota,Public,Percent,N,2020
8478,South Dakota,Medicaid,Percent,N,2020
8479,South Dakota,Medicare,Percent,N,2020
8480,South Dakota,VA Care,Percent,N,2020
8481,Tennessee,Total,Percent,N,2020
8482,Tennessee,Any coverage,Percent,N,2020
8483,Tennessee,Uninsured,Percent,N,2020
8484,Tennessee,Private,Percent,N,2020
8485,Tennessee,Employer-based,Percent,N,2020
8486,Tennessee,Direct-purchase,Percent,N,2020
8487,Tennessee,TRICARE,Percent,N,2020
8488,Tennessee,Public,Percent,N,2020
8489,Tennessee,Medicaid,Percent,N,2020
8490,Tennessee,Medicare,Percent,N,2020
8491,Tennessee,VA Care,Percent,N,2020
8492,Texas,Total,Percent,N,2020
8493,Texas,Any coverage,Percent,N,2020
8494,Texas,Uninsured,Percent,N,2020
8495,Texas,Private,Percent,N,2020
8496,Texas,Employer-based,Percent,N,2020
8497,Texas,Direct-purchase,Percent,N,2020
8498,Texas,TRICARE,Percent,N,2020
8499,Texas,Public,Percent,N,2020
8500,Texas,Medicaid,Percent,N,2020
8501,Texas,Medicare,Percent,N,2020
8502,Texas,VA Care,Percent,N,2020
8503,Utah,Total,Percent,N,2020
8504,Utah,Any coverage,Percent,N,2020
8505,Utah,Uninsured,Percent,N,2020
8506,Utah,Private,Percent,N,2020
8507,Utah,Employer-based,Percent,N,2020
8508,Utah,Direct-purchase,Percent,N,2020
8509,Utah,TRICARE,Percent,N,2020
8510,Utah,Public,Percent,N,2020
8511,Utah,Medicaid,Percent,N,2020
8512,Utah,Medicare,Percent,N,2020
8513,Utah,VA Care,Percent,N,2020
8514,Vermont,Total,Percent,N,2020
8515,Vermont,Any coverage,Percent,N,2020
8516,Vermont,Uninsured,Percent,N,2020
8517,Vermont,Private,Percent,N,2020
8518,Vermont,Employer-based,Percent,N,2020
8519,Vermont,Direct-purchase,Percent,N,2020
8520,Vermont,TRICARE,Percent,N,2020
8521,Vermont,Public,Percent,N,2020
8522,Vermont,Medicaid,Percent,N,2020
8523,Vermont,Medicare,Percent,N,2020
8524,Vermont,VA Care,Percent,N,2020
8525,Virginia,Total,Percent,N,2020
8526,Virginia,Any coverage,Percent,N,2020
8527,Virginia,Uninsured,Percent,N,2020
8528,Virginia,Private,Percent,N,2020
8529,Virginia,Employer-based,Percent,N,2020
8530,Virginia,Direct-purchase,Percent,N,2020
8531,Virginia,TRICARE,Percent,N,2020
8532,Virginia,Public,Percent,N,2020
8533,Virginia,Medicaid,Percent,N,2020
8534,Virginia,Medicare,Percent,N,2020
8535,Virginia,VA Care,Percent,N,2020
8536,Washington,Total,Percent,N,2020
8537,Washington,Any coverage,Percent,N,2020
8538,Washington,Uninsured,Percent,N,2020
8539,Washington,Private,Percent,N,2020
8540,Washington,Employer-based,Percent,N,2020
8541,Washington,Direct-purchase,Percent,N,2020
8542,Washington,TRICARE,Percent,N,2020
8543,Washington,Public,Percent,N,2020
8544,Washington,Medicaid,Percent,N,2020
8545,Washington,Medicare,Percent,N,2020
8546,Washington,VA Care,Percent,N,2020
8547,West Virginia,Total,Percent,N,2020
8548,West Virginia,Any coverage,Percent,N,2020
8549,West Virginia,Uninsured,Percent,N,2020
8550,West Virginia,Private,Percent,N,2020
8551,West Virginia,Employer-based,Percent,N,2020
8552,West Virginia,Direct-purchase,Percent,N,2020
8553,West Virginia,TRICARE,Percent,N,2020
8554,West Virginia,Public,Percent,N,2020
8555,West Virginia,Medicaid,Percent,N,2020
8556,West Virginia,Medicare,Percent,N,2020
8557,West Virginia,VA Care,Percent,N,2020
8558,Wisconsin,Total,Percent,N,2020
8559,Wisconsin,Any coverage,Percent,N,2020
8560,Wisconsin,Uninsured,Percent,N,2020
8561,Wisconsin,Private,Percent,N,2020
8562,Wisconsin,Employer-based,Percent,N,2020
8563,Wisconsin,Direct-purchase,Percent,N,2020
8564,Wisconsin,TRICARE,Percent,N,2020
8565,Wisconsin,Public,Percent,N,2020
8566,Wisconsin,Medicaid,Percent,N,2020
8567,Wisconsin,Medicare,Percent,N,2020
8568,Wisconsin,VA Care,Percent,N,2020
8569,Wyoming,Total,Percent,N,2020
8570,Wyoming,Any coverage,Percent,N,2020
8571,Wyoming,Uninsured,Percent,N,2020
8572,Wyoming,Private,Percent,N,2020
8573,Wyoming,Employer-based,Percent,N,2020
8574,Wyoming,Direct-purchase,Percent,N,2020
8575,Wyoming,TRICARE,Percent,N,2020
8576,Wyoming,Public,Percent,N,2020
8577,Wyoming,Medicaid,Percent,N,2020
8578,Wyoming,Medicare,Percent,N,2020
8579,Wyoming,VA Care,Percent,N,2020
8591,Alabama,Total,MOError2,N,2020
8592,Alabama,Any coverage,MOError2,N,2020
8593,Alabama,Uninsured,MOError2,N,2020
8594,Alabama,Private,MOError2,N,2020
8595,Alabama,Employer-based,MOError2,N,2020
8596,Alabama,Direct-purchase,MOError2,N,2020
8597,Alabama,TRICARE,MOError2,N,2020
8598,Alabama,Public,MOError2,N,2020
8599,Alabama,Medicaid,MOError2,N,2020
8600,Alabama,Medicare,MOError2,N,2020
8601,Alabama,VA Care,MOError2,N,2020
8602,Alaska,Total,MOError2,N,2020
8603,Alaska,Any coverage,MOError2,N,2020
8604,Alaska,Uninsured,MOError2,N,2020
8605,Alaska,Private,MOError2,N,2020
8606,Alaska,Employer-based,MOError2,N,2020
8607,Alaska,Direct-purchase,MOError2,N,2020
8608,Alaska,TRICARE,MOError2,N,2020
8609,Alaska,Public,MOError2,N,2020
8610,Alaska,Medicaid,MOError2,N,2020
8611,Alaska,Medicare,MOError2,N,2020
8612,Alaska,VA Care,MOError2,N,2020
8613,Arizona,Total,MOError2,N,2020
8614,Arizona,Any coverage,MOError2,N,2020
8615,Arizona,Uninsured,MOError2,N,2020
8616,Arizona,Private,MOError2,N,2020
8617,Arizona,Employer-based,MOError2,N,2020
8618,Arizona,Direct-purchase,MOError2,N,2020
8619,Arizona,TRICARE,MOError2,N,2020
8620,Arizona,Public,MOError2,N,2020
8621,Arizona,Medicaid,MOError2,N,2020
8622,Arizona,Medicare,MOError2,N,2020
8623,Arizona,VA Care,MOError2,N,2020
8624,Arkansas,Total,MOError2,N,2020
8625,Arkansas,Any coverage,MOError2,N,2020
8626,Arkansas,Uninsured,MOError2,N,2020
8627,Arkansas,Private,MOError2,N,2020
8628,Arkansas,Employer-based,MOError2,N,2020
8629,Arkansas,Direct-purchase,MOError2,N,2020
8630,Arkansas,TRICARE,MOError2,N,2020
8631,Arkansas,Public,MOError2,N,2020
8632,Arkansas,Medicaid,MOError2,N,2020
8633,Arkansas,Medicare,MOError2,N,2020
8634,Arkansas,VA Care,MOError2,N,2020
8635,California,Total,MOError2,N,2020
8636,California,Any coverage,MOError2,N,2020
8637,California,Uninsured,MOError2,N,2020
8638,California,Private,MOError2,N,2020
8639,California,Employer-based,MOError2,N,2020
8640,California,Direct-purchase,MOError2,N,2020
8641,California,TRICARE,MOError2,N,2020
8642,California,Public,MOError2,N,2020
8643,California,Medicaid,MOError2,N,2020
8644,California,Medicare,MOError2,N,2020
8645,California,VA Care,MOError2,N,2020
8646,Colorado,Total,MOError2,N,2020
8647,Colorado,Any coverage,MOError2,N,2020
8648,Colorado,Uninsured,MOError2,N,2020
8649,Colorado,Private,MOError2,N,2020
8650,Colorado,Employer-based,MOError2,N,2020
8651,Colorado,Direct-purchase,MOError2,N,2020
8652,Colorado,TRICARE,MOError2,N,2020
8653,Colorado,Public,MOError2,N,2020
8654,Colorado,Medicaid,MOError2,N,2020
8655,Colorado,Medicare,MOError2,N,2020
8656,Colorado,VA Care,MOError2,N,2020
8657,Connecticut,Total,MOError2,N,2020
8658,Connecticut,Any coverage,MOError2,N,2020
8659,Connecticut,Uninsured,MOError2,N,2020
8660,Connecticut,Private,MOError2,N,2020
8661,Connecticut,Employer-based,MOError2,N,2020
8662,Connecticut,Direct-purchase,MOError2,N,2020
8663,Connecticut,TRICARE,MOError2,N,2020
8664,Connecticut,Public,MOError2,N,2020
8665,Connecticut,Medicaid,MOError2,N,2020
8666,Connecticut,Medicare,MOError2,N,2020
8667,Connecticut,VA Care,MOError2,N,2020
8668,Delaware,Total,MOError2,N,2020
8669,Delaware,Any coverage,MOError2,N,2020
8670,Delaware,Uninsured,MOError2,N,2020
8671,Delaware,Private,MOError2,N,2020
8672,Delaware,Employer-based,MOError2,N,2020
8673,Delaware,Direct-purchase,MOError2,N,2020
8674,Delaware,TRICARE,MOError2,N,2020
8675,Delaware,Public,MOError2,N,2020
8676,Delaware,Medicaid,MOError2,N,2020
8677,Delaware,Medicare,MOError2,N,2020
8678,Delaware,VA Care,MOError2,N,2020
8679,District of Columbia,Total,MOError2,N,2020
8680,District of Columbia,Any coverage,MOError2,N,2020
8681,District of Columbia,Uninsured,MOError2,N,2020
8682,District of Columbia,Private,MOError2,N,2020
8683,District of Columbia,Employer-based,MOError2,N,2020
8684,District of Columbia,Direct-purchase,MOError2,N,2020
8685,District of Columbia,TRICARE,MOError2,N,2020
8686,District of Columbia,Public,MOError2,N,2020
8687,District of Columbia,Medicaid,MOError2,N,2020
8688,District of Columbia,Medicare,MOError2,N,2020
8689,District of Columbia,VA Care,MOError2,N,2020
8690,Florida,Total,MOError2,N,2020
8691,Florida,Any coverage,MOError2,N,2020
8692,Florida,Uninsured,MOError2,N,2020
8693,Florida,Private,MOError2,N,2020
8694,Florida,Employer-based,MOError2,N,2020
8695,Florida,Direct-purchase,MOError2,N,2020
8696,Florida,TRICARE,MOError2,N,2020
8697,Florida,Public,MOError2,N,2020
8698,Florida,Medicaid,MOError2,N,2020
8699,Florida,Medicare,MOError2,N,2020
8700,Florida,VA Care,MOError2,N,2020
8701,Georgia,Total,MOError2,N,2020
8702,Georgia,Any coverage,MOError2,N,2020
8703,Georgia,Uninsured,MOError2,N,2020
8704,Georgia,Private,MOError2,N,2020
8705,Georgia,Employer-based,MOError2,N,2020
8706,Georgia,Direct-purchase,MOError2,N,2020
8707,Georgia,TRICARE,MOError2,N,2020
8708,Georgia,Public,MOError2,N,2020
8709,Georgia,Medicaid,MOError2,N,2020
8710,Georgia,Medicare,MOError2,N,2020
8711,Georgia,VA Care,MOError2,N,2020
8712,Hawaii,Total,MOError2,N,2020
8713,Hawaii,Any coverage,MOError2,N,2020
8714,Hawaii,Uninsured,MOError2,N,2020
8715,Hawaii,Private,MOError2,N,2020
8716,Hawaii,Employer-based,MOError2,N,2020
8717,Hawaii,Direct-purchase,MOError2,N,2020
8718,Hawaii,TRICARE,MOError2,N,2020
8719,Hawaii,Public,MOError2,N,2020
8720,Hawaii,Medicaid,MOError2,N,2020
8721,Hawaii,Medicare,MOError2,N,2020
8722,Hawaii,VA Care,MOError2,N,2020
8723,Idaho,Total,MOError2,N,2020
8724,Idaho,Any coverage,MOError2,N,2020
8725,Idaho,Uninsured,MOError2,N,2020
8726,Idaho,Private,MOError2,N,2020
8727,Idaho,Employer-based,MOError2,N,2020
8728,Idaho,Direct-purchase,MOError2,N,2020
8729,Idaho,TRICARE,MOError2,N,2020
8730,Idaho,Public,MOError2,N,2020
8731,Idaho,Medicaid,MOError2,N,2020
8732,Idaho,Medicare,MOError2,N,2020
8733,Idaho,VA Care,MOError2,N,2020
8734,Illinois,Total,MOError2,N,2020
8735,Illinois,Any coverage,MOError2,N,2020
8736,Illinois,Uninsured,MOError2,N,2020
8737,Illinois,Private,MOError2,N,2020
8738,Illinois,Employer-based,MOError2,N,2020
8739,Illinois,Direct-purchase,MOError2,N,2020
8740,Illinois,TRICARE,MOError2,N,2020
8741,Illinois,Public,MOError2,N,2020
8742,Illinois,Medicaid,MOError2,N,2020
8743,Illinois,Medicare,MOError2,N,2020
8744,Illinois,VA Care,MOError2,N,2020
8745,Indiana,Total,MOError2,N,2020
8746,Indiana,Any coverage,MOError2,N,2020
8747,Indiana,Uninsured,MOError2,N,2020
8748,Indiana,Private,MOError2,N,2020
8749,Indiana,Employer-based,MOError2,N,2020
8750,Indiana,Direct-purchase,MOError2,N,2020
8751,Indiana,TRICARE,MOError2,N,2020
8752,Indiana,Public,MOError2,N,2020
8753,Indiana,Medicaid,MOError2,N,2020
8754,Indiana,Medicare,MOError2,N,2020
8755,Indiana,VA Care,MOError2,N,2020
8756,Iowa,Total,MOError2,N,2020
8757,Iowa,Any coverage,MOError2,N,2020
8758,Iowa,Uninsured,MOError2,N,2020
8759,Iowa,Private,MOError2,N,2020
8760,Iowa,Employer-based,MOError2,N,2020
8761,Iowa,Direct-purchase,MOError2,N,2020
8762,Iowa,TRICARE,MOError2,N,2020
8763,Iowa,Public,MOError2,N,2020
8764,Iowa,Medicaid,MOError2,N,2020
8765,Iowa,Medicare,MOError2,N,2020
8766,Iowa,VA Care,MOError2,N,2020
8767,Kansas,Total,MOError2,N,2020
8768,Kansas,Any coverage,MOError2,N,2020
8769,Kansas,Uninsured,MOError2,N,2020
8770,Kansas,Private,MOError2,N,2020
8771,Kansas,Employer-based,MOError2,N,2020
8772,Kansas,Direct-purchase,MOError2,N,2020
8773,Kansas,TRICARE,MOError2,N,2020
8774,Kansas,Public,MOError2,N,2020
8775,Kansas,Medicaid,MOError2,N,2020
8776,Kansas,Medicare,MOError2,N,2020
8777,Kansas,VA Care,MOError2,N,2020
8778,Kentucky,Total,MOError2,N,2020
8779,Kentucky,Any coverage,MOError2,N,2020
8780,Kentucky,Uninsured,MOError2,N,2020
8781,Kentucky,Private,MOError2,N,2020
8782,Kentucky,Employer-based,MOError2,N,2020
8783,Kentucky,Direct-purchase,MOError2,N,2020
8784,Kentucky,TRICARE,MOError2,N,2020
8785,Kentucky,Public,MOError2,N,2020
8786,Kentucky,Medicaid,MOError2,N,2020
8787,Kentucky,Medicare,MOError2,N,2020
8788,Kentucky,VA Care,MOError2,N,2020
8789,Louisiana,Total,MOError2,N,2020
8790,Louisiana,Any coverage,MOError2,N,2020
8791,Louisiana,Uninsured,MOError2,N,2020
8792,Louisiana,Private,MOError2,N,2020
8793,Louisiana,Employer-based,MOError2,N,2020
8794,Louisiana,Direct-purchase,MOError2,N,2020
8795,Louisiana,TRICARE,MOError2,N,2020
8796,Louisiana,Public,MOError2,N,2020
8797,Louisiana,Medicaid,MOError2,N,2020
8798,Louisiana,Medicare,MOError2,N,2020
8799,Louisiana,VA Care,MOError2,N,2020
8800,Maine,Total,MOError2,N,2020
8801,Maine,Any coverage,MOError2,N,2020
8802,Maine,Uninsured,MOError2,N,2020
8803,Maine,Private,MOError2,N,2020
8804,Maine,Employer-based,MOError2,N,2020
8805,Maine,Direct-purchase,MOError2,N,2020
8806,Maine,TRICARE,MOError2,N,2020
8807,Maine,Public,MOError2,N,2020
8808,Maine,Medicaid,MOError2,N,2020
8809,Maine,Medicare,MOError2,N,2020
8810,Maine,VA Care,MOError2,N,2020
8811,Maryland,Total,MOError2,N,2020
8812,Maryland,Any coverage,MOError2,N,2020
8813,Maryland,Uninsured,MOError2,N,2020
8814,Maryland,Private,MOError2,N,2020
8815,Maryland,Employer-based,MOError2,N,2020
8816,Maryland,Direct-purchase,MOError2,N,2020
8817,Maryland,TRICARE,MOError2,N,2020
8818,Maryland,Public,MOError2,N,2020
8819,Maryland,Medicaid,MOError2,N,2020
8820,Maryland,Medicare,MOError2,N,2020
8821,Maryland,VA Care,MOError2,N,2020
8822,Massachusetts,Total,MOError2,N,2020
8823,Massachusetts,Any coverage,MOError2,N,2020
8824,Massachusetts,Uninsured,MOError2,N,2020
8825,Massachusetts,Private,MOError2,N,2020
8826,Massachusetts,Employer-based,MOError2,N,2020
8827,Massachusetts,Direct-purchase,MOError2,N,2020
8828,Massachusetts,TRICARE,MOError2,N,2020
8829,Massachusetts,Public,MOError2,N,2020
8830,Massachusetts,Medicaid,MOError2,N,2020
8831,Massachusetts,Medicare,MOError2,N,2020
8832,Massachusetts,VA Care,MOError2,N,2020
8833,Michigan,Total,MOError2,N,2020
8834,Michigan,Any coverage,MOError2,N,2020
8835,Michigan,Uninsured,MOError2,N,2020
8836,Michigan,Private,MOError2,N,2020
8837,Michigan,Employer-based,MOError2,N,2020
8838,Michigan,Direct-purchase,MOError2,N,2020
8839,Michigan,TRICARE,MOError2,N,2020
8840,Michigan,Public,MOError2,N,2020
8841,Michigan,Medicaid,MOError2,N,2020
8842,Michigan,Medicare,MOError2,N,2020
8843,Michigan,VA Care,MOError2,N,2020
8844,Minnesota,Total,MOError2,N,2020
8845,Minnesota,Any coverage,MOError2,N,2020
8846,Minnesota,Uninsured,MOError2,N,2020
8847,Minnesota,Private,MOError2,N,2020
8848,Minnesota,Employer-based,MOError2,N,2020
8849,Minnesota,Direct-purchase,MOError2,N,2020
8850,Minnesota,TRICARE,MOError2,N,2020
8851,Minnesota,Public,MOError2,N,2020
8852,Minnesota,Medicaid,MOError2,N,2020
8853,Minnesota,Medicare,MOError2,N,2020
8854,Minnesota,VA Care,MOError2,N,2020
8855,Mississippi,Total,MOError2,N,2020
